"archive",28254
"doi",18453
"nih",16839
"google",16204
"wikipedia",5869
"harvard",5344
"worldcat",4082
"jstor",2130
"bbc",1789
"loc",1256
"nytimes",1170
"britannica",890
"arxiv",880
"bnf",822
"d-nb",810
"nasa",786
"wmflabs",771
"theguardian",709
"ndl",699
"who",586
"semanticscholar",506
"stanford",504
"psu",488
"un",407
"tufts",396
"archives",395
"europa",382
"cia",374
"biblegateway",367
"handle",342
"researchgate",324
"nla",305
"cnn",293
"academia",288
"nkp",278
"worldbank",274
"uchicago",262
"wikisource",258
"cdc",254
"viaf",248
"unesco",239
"reuters",233
"nationalgeographic",233
"amazon",230
"noaa",225
"webcitation",224
"telegraph",222
"washingtonpost",222
"idref",211
"bne",209
"fao",208
"economist",206
"time",197
"etymonline",197
"gutenberg",194
"imf",193
"nli",191
"youtube",188
"independent",184
"pbs",183
"vatican",183
"isni",182
"state",180
"curlie",179
"hls-dhs-dss",177
"kb",165
"merriam-webster",164
"usgs",161
"nobelprize",160
"utm",158
"zenodo",152
"oed",150
"nature",149
"indiatimes",142
"mit",142
"questia",141
"bloomberg",132
"darwin-online",132
"oxforddictionaries",131
"newscientist",131
"pewforum",130
"forbes",127
"berkeley",126
"usda",126
"cornell",124
"about",124
"musicbrainz",123
"bibliotheken",120
"bnc",119
"oecd",118
"sciencedaily",117
"census",114
"scientificamerican",113
"cambridge",112
"sciencemag",112
"ams",112
"npr",110
"umich",108
"www",108
"abc",108
"bibsys",108
"snaccooperative",108
"marxists",103
"nl",99
"ipcc",99
"reference",98
"newadvent",96
"undp",96
"space",96
"usatoday",95
"nps",93
"yale",91
"thejakartapost",91
"princeton",90
"wsj",90
"huffingtonpost",90
"getty",90
"si",88
"latimes",88
"wolfram",88
"blogspot",86
"ethnologue",83
"oxfordjournals",82
"caltech",82
"columbia",81
"ucla",80
"msn",80
"librivox",79
"wordpress",78
"st-andrews",78
"epa",77
"wto",76
"countrystudies",75
"fifa",75
"bachdigital",75
"allmusic",74
"olympic",74
"esa",74
"aip",74
"history",73
"ssrn",73
"aljazeera",72
"theatlantic",72
"ft",72
"nbcnews",70
"ucl",70
"metmuseum",69
"sbn",69
"iranicaonline",68
"hawaii",68
"arquivo",67
"cam",67
"upenn",67
"washington",67
"nii",67
"dictionaryofeconomics",67
"livescience",66
"nist",66
"thefreedictionary",65
"pnas",65
"mfa",62
"nationalarchives",62
"jhu",62
"escholarship",61
"insee",61
"allenpress",60
"utexas",59
"st-and",59
"cbc",58
"fordham",58
"rero",58
"yahoo",57
"csmonitor",57
"slate",56
"nap",56
"businessinsider",55
"wired",55
"arizona",55
"imdb",55
"navy",54
"wmo",54
"hathitrust",53
"timesonline",53
"openlibrary",53
"kopkatalogs",53
"smh",52
"iea",52
"nsk",52
"iupac",52
"dawn",51
"computerhistory",51
"archive-it",50
"fas",50
"nato",50
"bl",49
"thehindu",49
"newyorker",49
"wisc",49
"hrw",49
"archives-ouvertes",49
"army",48
"parliament",48
"oup",48
"indiana",48
"collinsdictionary",48
"howstuffworks",48
"scribd",47
"jpost",47
"haaretz",47
"coe",47
"smithsonianmag",47
"ibiblio",47
"doe",47
"statcan",46
"cern",46
"eia",46
"mechon-mamre",45
"jewishvirtuallibrary",45
"ox",45
"ed",45
"xinhuanet",45
"bipm",45
"msu",44
"livius",44
"umn",44
"lbl",44
"bartleby",43
"mpg",43
"sciencedirect",43
"iucnredlist",43
"virginia",42
